timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
1675228500000,23158.43,23159.99,23144.03,23147.5,543.63315,1675228799999,12586046.0714853,16652,249.46207,5775632.7383966,0
1675228800000,23147.5,23162.0,23136.67,23156.42,592.05359,1675229099999,13706913.8535708,18107,293.85952,6803456.6229727,0
1675229100000,23156.42,23164.0,23154.29,23159.3,557.45657,1675229399999,12910191.6522058,16726,261.26757,6050831.2918529,0
1675229400000,23159.98,23167.39,23149.62,23152.53,641.17039,1675229699999,14848662.7340302,17795,291.17259,6743433.1603975,0
1675229700000,23152.53,23154.56,23135.82,23140.66,477.66955,1675229999999,11056997.705186,15588,209.86331,4857978.9426817,0
1675230000000,23141.15,23147.53,23127.06,23135.71,859.41087,1675230299999,19882757.6451605,18162,472.2036,10924765.8494026,0
1675230300000,23135.79,23137.86,23119.77,23124.7,582.6461,1675230599999,13475175.0842845,16324,227.23655,5255609.7820681,0
1675230600000,23125.3,23135.27,23111.39,23126.06,581.2467,1675230899999,13439726.1921644,17811,293.68208,6790762.1685721,0
1675230900000,23126.05,23129.08,23115.78,23118.67,409.40512,1675231199999,9466586.0031816,14572,207.66682,4801898.5900566,0
1675231200000,23118.68,23131.66,23112.48,23118.69,619.81741,1675231499999,14330651.3423063,17526,315.5699,7296461.0417236,0
1675231500000,23118.69,23125.43,23103.98,23120.04,691.7854,1675231799999,15990518.3756562,18333,343.57548,7942008.1170091,0
1675231800000,23119.6,23131.98,23111.65,23118.34,509.76333,1675232099999,11785826.5183445,16033,243.94201,5640134.9177009,0
1675232100000,23118.88,23119.3,23078.39,23081.25,1119.35497,1675232399999,25855582.4647018,27838,504.40555,11651255.1975544,0
1675232400000,23082.16,23108.38,23066.81,23104.96,987.20492,1675232699999,22791858.9203429,27314,520.43304,12016075.5491381,0
1675232700000,23104.96,23111.52,23098.9,23103.81,355.9462,1675232999999,8223955.2159968,14351,177.79211,4107890.2519283,0
1675233000000,23104.51,23123.86,23090.3,23118.09,711.56743,1675233299999,16442711.5303787,22054,365.34176,8442354.0677606,0
1675233300000,23117.36,23126.95,23106.24,23109.68,523.14498,1675233599999,12094314.5771298,17173,259.07444,5989567.428674,0
1675233600000,23108.92,23116.59,23083.44,23084.67,774.75656,1675233899999,17897878.0441655,21074,344.77328,7964744.4608262,0
1675233900000,23084.67,23095.56,23076.43,23090.81,628.63496,1675234199999,14512993.8963499,20347,310.14426,7160305.3912909,0
1675234200000,23091.66,23098.97,23071.34,23089.01,711.32184,1675234499999,16420002.5564247,21493,351.274,8108881.1889265,0
1675234500000,23089.0,23089.42,23048.25,23065.77,1417.04418,1675234799999,32681206.3636907,32741,657.27152,15158860.9059382,0
1675234800000,23065.77,23066.52,23017.07,23042.14,1854.959,1675235099999,42741859.0527847,39683,858.84301,19789563.579377,0
1675235100000,23042.14,23054.73,23030.0,23051.32,864.18998,1675235399999,19914819.7469038,23401,441.92101,10184030.2969312,0
1675235400000,23051.32,23081.85,23047.4,23077.71,885.70337,1675235699999,20428706.4093509,22613,477.54057,11014878.7847024,0
1675235700000,23076.61,23094.58,23071.42,23090.56,776.20736,1675235999999,17917504.9785773,21632,421.16557,9722150.2903365,0
1675236000000,23091.14,23096.35,23072.98,23093.71,634.42397,1675236299999,14646766.1727422,17084,320.27131,7394243.7918923,0
1675236300000,23094.83,23113.96,23082.83,23111.14,775.54934,1675236599999,17911544.8454011,20944,394.54875,9112500.6861122,0
1675236600000,23110.15,23115.54,23100.26,23105.16,759.38435,1675236899999,17548160.8367676,18513,331.22304,7654286.8904922,0
1675236900000,23105.16,23106.5,23082.53,23085.6,629.22009,1675237199999,14529517.4571591,18132,305.85221,7062556.1159412,0
1675237200000,23084.38,23091.0,23082.53,23087.5,468.10175,1675237499999,10807030.429907,14150,237.2939,5478482.0658012,0
1675237500000,23088.09,23089.63,23063.33,23073.97,722.1188,1675237799999,16663016.2527431,19336,319.66442,7376508.3039498,0
1675237800000,23073.97,23092.19,23063.67,23090.59,566.68402,1675238099999,13077299.8312525,17147,306.79816,7080183.8477067,0
1675238100000,23090.59,23093.0,23071.0,23076.68,477.86326,1675238399999,11028798.2080996,16121,226.69479,5232011.8699098,0
1675238400000,23076.67,23082.0,23063.03,23071.18,1071.97771,1675238699999,24731389.2655414,27044,481.2165,11102568.1845818,0
1675238700000,23070.66,23087.43,23057.01,23079.59,716.64592,1675238999999,16535674.1686897,19795,382.28164,8821174.6003158,0
1675239000000,23080.36,23081.91,23049.0,23054.61,812.33032,1675239299999,18733241.5893771,21660,374.70053,8641012.525772,0
1675239300000,23055.28,23062.37,23020.44,23024.51,837.1273,1675239599999,19288912.4268616,25146,385.42487,8881229.9306074,0
1675239600000,23024.09,23038.83,22946.62,22996.02,2428.92839,1675239899999,55873621.6855701,48112,1172.79829,26977849.8669911,0
1675239900000,22995.15,23010.46,22940.0,22967.56,1402.78138,1675240199999,32227778.1573487,38490,677.93088,15575393.5392726,0
1675240200000,22967.56,22997.73,22938.16,22987.83,1348.31307,1675240499999,30972964.5246394,35861,696.95742,16011009.5763024,0
1675240500000,22988.92,23002.66,22975.19,22999.75,700.17384,1675240799999,16097596.7279786,23842,345.68128,7947652.9695443,0
1675240800000,22999.17,23006.16,22991.9,22992.28,703.04769,1675241099999,16170023.0886864,20712,365.70245,8411384.4855757,0
1675241100000,22993.58,23012.11,22976.27,22977.65,1006.84263,1675241399999,23150245.9958172,26174,438.98764,10093992.0447276,0
1675241400000,22977.07,22990.94,22969.26,22987.67,644.2532,1675241699999,14804210.090872,19980,333.49945,7663587.118891,0
1675241700000,22986.96,22989.58,22966.54,22982.03,657.16988,1675241999999,15099277.2699424,21334,343.86182,7900844.722998,0
1675242000000,22982.15,22983.22,22957.74,22964.21,992.54233,1675242299999,22796718.426137,23548,450.91099,10356917.2742114,0
1675242300000,22962.34,22970.88,22919.33,22956.99,1105.03296,1675242599999,25358136.9394355,29360,487.12622,11178313.8751138,0
1675242600000,22956.99,22990.5,22941.69,22988.69,824.7336,1675242899999,18942915.7423393,24614,467.07622,10728810.6626147,0
1675242900000,22987.53,23013.77,22975.0,23010.27,891.95876,1675243199999,20510000.8742527,24247,480.6997,11053641.0475826,0
1675243200000,23010.27,23015.91,22993.87,23006.59,743.55848,1675243499999,17107193.0309933,21912,363.22083,8356933.7605769,0
1675243500000,23005.59,23018.76,23000.0,23017.68,543.18208,1675243799999,12497551.2232147,18539,287.04627,6604597.1945596,0
1675243800000,23017.68,23021.87,22989.64,22998.43,703.48338,1675244099999,16183830.1624468,20039,328.63336,7560535.9837351,0
1675244100000,22998.44,23004.99,22986.81,22990.06,476.16892,1675244399999,10948937.0641438,17212,220.69323,5074642.1805248,0
1675244400000,22990.94,22992.33,22969.51,22980.7,599.61078,1675244699999,13779309.4925287,19738,297.24659,6830930.6125752,0
1675244700000,22980.7,22998.36,22967.22,22991.9,571.97776,1675244999999,13146402.1671191,19992,281.91004,6479668.9696468,0
1675245000000,22991.9,22997.43,22980.0,22984.85,493.50354,1675245299999,11344312.2215589,16613,224.41794,5158774.3054127,0
1675245300000,22984.85,23004.69,22982.01,22991.86,635.13686,1675245599999,14604369.2915241,16786,333.43485,7667233.4922602,0
1675245600000,22992.69,23007.76,22983.61,22990.38,733.43131,1675245899999,16864146.9025955,17281,367.40053,8448422.3589563,0
1675245900000,22991.09,22997.73,22976.75,22992.72,607.67157,1675246199999,13969383.0234652,16686,273.97072,6298337.5851449,0
1675246200000,22992.28,23006.33,22987.93,23001.28,582.41212,1675246499999,13394048.7832724,17198,281.64218,6477199.8540444,0
1675246500000,23001.85,23011.87,22994.79,22997.58,610.80045,1675246799999,14050782.9777638,17096,318.41385,7325109.8682996,0
1675246800000,22996.62,23002.41,22988.2,22988.7,522.36599,1675247099999,12011938.7442144,15015,264.74731,6088101.3280902,0
1675247100000,22988.42,22994.89,22974.12,22977.85,548.0064,1675247399999,12595001.1710488,15297,237.53626,5459495.2798258,0
1675247400000,22978.45,22986.99,22961.79,22970.69,595.63721,1675247699999,13683766.726271,16625,269.86687,6199902.778703,0
1675247700000,22970.06,22971.06,22942.84,22959.47,687.07222,1675247999999,15772287.878388,18276,313.5159,7197173.258188,0
1675248000000,22958.83,22986.09,22957.38,22981.59,516.38807,1675248299999,11863127.0736175,16133,273.43146,6281761.0909282,0
1675248300000,22981.39,23007.56,22979.44,23003.89,581.55409,1675248599999,13373278.3759715,17673,333.38663,7666721.5326989,0
1675248600000,23003.89,23006.39,22996.08,23003.2,444.54328,1675248899999,10225146.9572286,15181,230.41196,5299903.254145,0
1675248900000,23003.2,23006.22,22992.43,22996.3,425.0213,1675249199999,9774665.6242143,11389,218.59447,5027204.8557535,0
1675249200000,22996.3,23006.75,22987.6,23006.75,600.55521,1675249499999,13811255.3456925,14945,342.38666,7874358.712526,0
